municipality,year,value
Aabenraa,2007,428.63
Aalborg,2007,345.72
Aarhus,2007,300.84
Albertslund,2007,300.09
Allerød,2007,405.1
Assens,2007,412.83
Ballerup,2007,358.8
Billund,2007,416.68
Bornholm,2007,379.13
Brøndby,2007,557.95
Brønderslev,2007,399.32
Copenhagen,2007,229.42
Dragør,2007,374.93
Egedal,2007,407.69
Esbjerg,2007,359.22
Faaborg-Midtfyn,2007,412.42
Fanø,2007,281.02
Favrskov,2007,408.19
Faxe,2007,411.51
Fredensborg,2007,382.82
Fredericia,2007,374.56
Frederiksberg,2007,241.14
Frederikshavn,2007,365.49
Frederikssund,2007,404.06
Furesø,2007,376.56
Gentofte,2007,368.87
Gladsaxe,2007,342.11
Glostrup,2007,405.7
Greve,2007,386.03
Gribskov,2007,433.95
Guldborgsund,2007,400.59
Haderslev,2007,404.1
Halsnæs,2007,395.37
Hedensted,2007,423.89
Helsingør,2007,344.45
Herlev,2007,323.9
Herning,2007,386.67
Hillerød,2007,377.62
Hjørring,2007,377.54
Holbæk,2007,391.1
Holstebro,2007,380.32
Horsens,2007,382.99
Hvidovre,2007,315.59
Høje-Taastrup,2007,563.81
Hørsholm,2007,421.99
Ikast-Brande,2007,401.2
Ishøj,2007,298.64
Jammerbugt,2007,415.56
Kalundborg,2007,410.05
Kerteminde,2007,403.34
Kolding,2007,389.01
Køge,2007,375.13
Langeland,2007,390.07
Lejre,2007,418.15
Lemvig,2007,396.57
Lolland,2007,376.97
Lyngby-Taarbæk,2007,357.5
Læsø,2007,348.98
Mariagerfjord,2007,405.07
Middelfart,2007,403.58
Morsø,2007,423.75
Norddjurs,2007,394.03
Nordfyns,2007,425.01
Nyborg,2007,378.87
Næstved,2007,387.62
Odder,2007,398.43
Odense,2007,328.66
Odsherred,2007,427.42
Randers,2007,380.16
Rebild,2007,416.1
Ringkøbing-Skjern,2007,399.71
Ringsted,2007,380.16
Roskilde,2007,364.68
Rudersdal,2007,660.05
Rødovre,2007,312.08
Samsø,2007,388.49
Silkeborg,2007,432.32
Skanderborg,2007,406.07
Skive,2007,396.97
Slagelse,2007,359.1
Solrød,2007,393.76
Sorø,2007,402.02
Stevns,2007,425.36
Struer,2007,389.91
Svendborg,2007,363.35
Syddjurs,2007,413.63
Sønderborg,2007,394.91
Thisted,2007,393.01
Tårnby,2007,325.59
Tønder,2007,411.33
Vallensbæk,2007,371.97
Varde,2007,409.82
Vejen,2007,408.82
Vejle,2007,394.24
Vesthimmerlands,2007,408.76
Viborg,2007,401.38
Vordingborg,2007,403.05
Ærø,2007,357.27
Aabenraa,2011,460.99
Aalborg,2011,376.09
Aarhus,2011,316.34
Albertslund,2011,305.04
Allerød,2011,413.6
Assens,2011,446.43
Ballerup,2011,401.11
Billund,2011,444.58
Bornholm,2011,393.38
Brøndby,2011,579.44
Brønderslev,2011,426.19
Copenhagen,2011,231.4
Dragør,2011,388.2
Egedal,2011,423.03
Esbjerg,2011,382.88
Faaborg-Midtfyn,2011,443.36
Fanø,2011,304.7
Favrskov,2011,437.18
Faxe,2011,436.43
Fredensborg,2011,390.41
Fredericia,2011,390.33
Frederiksberg,2011,230.99
Frederikshavn,2011,393.5
Frederikssund,2011,421.22
Furesø,2011,383.95
Gentofte,2011,365.74
Gladsaxe,2011,359.49
Glostrup,2011,464.23
Greve,2011,398.45
Gribskov,2011,455.33
Guldborgsund,2011,421.98
Haderslev,2011,429.94
Halsnæs,2011,413.51
Hedensted,2011,454.31
Helsingør,2011,356.07
Herlev,2011,340.9
Herning,2011,421.66
Hillerød,2011,386.72
Hjørring,2011,407.65
Holbæk,2011,410.71
Holstebro,2011,404.93
Horsens,2011,398.53
Hvidovre,2011,397.36
Høje-Taastrup,2011,631.5
Hørsholm,2011,424.0
Ikast-Brande,2011,450.0
Ishøj,2011,311.1
Jammerbugt,2011,442.75
Kalundborg,2011,433.51
Kerteminde,2011,433.45
Kolding,2011,410.42
Køge,2011,395.1
Langeland,2011,417.35
Lejre,2011,437.98
Lemvig,2011,421.73
Lolland,2011,398.15
Lyngby-Taarbæk,2011,337.4
Læsø,2011,361.72
Mariagerfjord,2011,434.98
Middelfart,2011,437.34
Morsø,2011,532.78
Norddjurs,2011,425.68
Nordfyns,2011,453.38
Nyborg,2011,407.31
Næstved,2011,407.2
Odder,2011,419.23
Odense,2011,345.04
Odsherred,2011,455.14
Randers,2011,400.65
Rebild,2011,445.78
Ringkøbing-Skjern,2011,424.62
Ringsted,2011,395.29
Roskilde,2011,372.72
Rudersdal,2011,622.33
Rødovre,2011,320.97
Samsø,2011,407.72
Silkeborg,2011,494.11
Skanderborg,2011,430.84
Skive,2011,426.27
Slagelse,2011,380.22
Solrød,2011,403.79
Sorø,2011,419.84
Stevns,2011,446.63
Struer,2011,415.01
Svendborg,2011,392.64
Syddjurs,2011,442.37
Sønderborg,2011,420.62
Thisted,2011,416.97
Tårnby,2011,336.26
Tønder,2011,441.57
Vallensbæk,2011,370.09
Varde,2011,436.6
Vejen,2011,441.23
Vejle,2011,414.2
Vesthimmerlands,2011,437.59
Viborg,2011,429.59
Vordingborg,2011,426.47
Ærø,2011,378.06
Aabenraa,2015,576.53
Aalborg,2015,380.49
Aarhus,2015,331.54
Albertslund,2015,326.3
Allerød,2015,442.14
Assens,2015,477.34
Ballerup,2015,407.57
Billund,2015,477.04
Bornholm,2015,417.67
Brøndby,2015,602.57
Brønderslev,2015,455.47
Copenhagen,2015,267.89
Dragør,2015,408.25
Egedal,2015,442.18
Esbjerg,2015,415.01
Faaborg-Midtfyn,2015,478.77
Fanø,2015,337.42
Favrskov,2015,464.62
Faxe,2015,460.04
Fredensborg,2015,410.46
Fredericia,2015,419.0
Frederiksberg,2015,233.63
Frederikshavn,2015,425.64
Frederikssund,2015,451.24
Furesø,2015,403.13
Gentofte,2015,360.34
Gladsaxe,2015,379.2
Glostrup,2015,402.6
Greve,2015,421.42
Gribskov,2015,485.89
Guldborgsund,2015,449.05
Haderslev,2015,458.83
Halsnæs,2015,445.8
Hedensted,2015,498.45
Helsingør,2015,382.53
Herlev,2015,364.22
Herning,2015,445.65
Hillerød,2015,417.61
Hjørring,2015,442.06
Holbæk,2015,444.21
Holstebro,2015,432.67
Horsens,2015,420.48
Hvidovre,2015,469.32
Høje-Taastrup,2015,631.95
Hørsholm,2015,453.05
Ikast-Brande,2015,490.71
Ishøj,2015,325.4
Jammerbugt,2015,479.67
Kalundborg,2015,463.66
Kerteminde,2015,462.79
Kolding,2015,435.61
Køge,2015,408.21
Langeland,2015,445.56
Lejre,2015,467.87
Lemvig,2015,461.73
Lolland,2015,429.55
Lyngby-Taarbæk,2015,349.59
Læsø,2015,405.57
Mariagerfjord,2015,468.51
Middelfart,2015,476.32
Morsø,2015,528.73
Norddjurs,2015,459.29
Nordfyns,2015,483.29
Nyborg,2015,429.32
Næstved,2015,429.47
Odder,2015,453.94
Odense,2015,357.88
Odsherred,2015,484.22
Randers,2015,422.38
Rebild,2015,488.24
Ringkøbing-Skjern,2015,460.43
Ringsted,2015,416.17
Roskilde,2015,388.39
Rudersdal,2015,440.67
Rødovre,2015,330.29
