municipality,year,value
Aabenraa,1987,74649
Aalborg,1987,74460
Aarhus,1987,77357
Albertslund,1987,83540
Allerød,1987,95806
Assens,1987,71674
Ballerup,1987,86399
Billund,1987,77213
Bornholm,1987,71571
Brøndby,1987,83594
Brønderslev,1987,69738
Copenhagen,1987,75356
Dragør,1987,97966
Egedal,1987,91226
Esbjerg,1987,76981
Faaborg-Midtfyn,1987,72108
Fanø,1987,79413
Favrskov,1987,75959
Faxe,1987,76556
Fredensborg,1987,89762
Fredericia,1987,77459
Frederiksberg,1987,85428
Frederikshavn,1987,75216
Frederikssund,1987,84104
Furesø,1987,96268
Gentofte,1987,107551
Gladsaxe,1987,83460
Glostrup,1987,84798
Greve,1987,91719
Gribskov,1987,85116
Guldborgsund,1987,72076
Haderslev,1987,73363
Halsnæs,1987,80800
Hedensted,1987,75386
Helsingør,1987,82919
Herlev,1987,87123
Herning,1987,77264
Hillerød,1987,88912
Hjørring,1987,72726
Holbæk,1987,76611
Holstebro,1987,75672
Horsens,1987,73932
Hvidovre,1987,83088
Høje-Taastrup,1987,86492
Hørsholm,1987,113579
Ikast-Brande,1987,75265
Ishøj,1987,83971
Jammerbugt,1987,71405
Kalundborg,1987,75945
Kerteminde,1987,74932
Kolding,1987,74992
Køge,1987,81488
Langeland,1987,68259
Lejre,1987,86303
Lemvig,1987,74422
Lolland,1987,69421
Lyngby-Taarbæk,1987,94909
Læsø,1987,67270
Mariagerfjord,1987,71461
Middelfart,1987,74866
Morsø,1987,69893
Norddjurs,1987,72040
Nordfyns,1987,71409
Nyborg,1987,72329
Næstved,1987,76668
Odder,1987,76552
Odense,1987,74147
Odsherred,1987,74421
Randers,1987,73431
Rebild,1987,73871
Ringkøbing-Skjern,1987,74526
Ringsted,1987,78901
Roskilde,1987,85649
Rudersdal,1987,105103
Rødovre,1987,82598
Samsø,1987,65990
Silkeborg,1987,76745
Skanderborg,1987,77303
Skive,1987,72136
Slagelse,1987,75429
Solrød,1987,92036
Sorø,1987,74891
Stevns,1987,78909
Struer,1987,74221
Svendborg,1987,73513
Syddjurs,1987,75668
Sønderborg,1987,75251
Thisted,1987,71679
Tårnby,1987,87598
Tønder,1987,73299
Vallensbæk,1987,95429
Varde,1987,73916
Vejen,1987,71678
Vejle,1987,74831
Vesthimmerlands,1987,69105
Viborg,1987,73824
Vordingborg,1987,73561
Ærø,1987,69808
Aabenraa,1988,78878
Aalborg,1988,78797
Aarhus,1988,81682
Albertslund,1988,87075
Allerød,1988,100136
Assens,1988,76184
Ballerup,1988,89122
Billund,1988,84287
Bornholm,1988,75276
Brøndby,1988,86917
Brønderslev,1988,73098
Copenhagen,1988,79444
Dragør,1988,99867
Egedal,1988,95746
Esbjerg,1988,81672
Faaborg-Midtfyn,1988,76939
Fanø,1988,85146
Favrskov,1988,80188
Faxe,1988,80535
Fredensborg,1988,94608
Fredericia,1988,82267
Frederiksberg,1988,89924
Frederikshavn,1988,78873
Frederikssund,1988,87847
Furesø,1988,100515
Gentofte,1988,112400
Gladsaxe,1988,87294
Glostrup,1988,88185
Greve,1988,95353
Gribskov,1988,89100
Guldborgsund,1988,76866
Haderslev,1988,78055
Halsnæs,1988,83964
Hedensted,1988,79422
Helsingør,1988,87393
Herlev,1988,89767
Herning,1988,80742
Hillerød,1988,92661
Hjørring,1988,76552
Holbæk,1988,81736
Holstebro,1988,78890
Horsens,1988,77836
Hvidovre,1988,85910
Høje-Taastrup,1988,90196
Hørsholm,1988,117924
Ikast-Brande,1988,78433
Ishøj,1988,87649
Jammerbugt,1988,75070
Kalundborg,1988,80299
Kerteminde,1988,79919
Kolding,1988,79523
Køge,1988,85766
Langeland,1988,71513
Lejre,1988,92038
Lemvig,1988,78555
Lolland,1988,73912
Lyngby-Taarbæk,1988,98671
Læsø,1988,71239
Mariagerfjord,1988,75480
Middelfart,1988,79013
Morsø,1988,74336
Norddjurs,1988,75360
Nordfyns,1988,76015
Nyborg,1988,77730
Næstved,1988,81719
Odder,1988,81106
Odense,1988,78516
Odsherred,1988,78254
Randers,1988,77252
Rebild,1988,77837
Ringkøbing-Skjern,1988,79239
Ringsted,1988,82836
Roskilde,1988,90344
Rudersdal,1988,110246
Rødovre,1988,86912
Samsø,1988,70337
Silkeborg,1988,80705
Skanderborg,1988,81072
Skive,1988,76265
Slagelse,1988,79636
Solrød,1988,96445
Sorø,1988,79009
Stevns,1988,83431
Struer,1988,77919
Svendborg,1988,77611
Syddjurs,1988,79038
Sønderborg,1988,79631
Thisted,1988,74053
Tårnby,1988,90789
Tønder,1988,77846
Vallensbæk,1988,99281
Varde,1988,78663
Vejen,1988,76729
Vejle,1988,79585
Vesthimmerlands,1988,73866
Viborg,1988,77866
Vordingborg,1988,77199
Ærø,1988,74238
Aabenraa,1989,83883
Aalborg,1989,83675
Aarhus,1989,86397
Albertslund,1989,90616
Allerød,1989,105181
Assens,1989,81007
Ballerup,1989,93381
Billund,1989,86864
Bornholm,1989,78758
Brøndby,1989,91158
Brønderslev,1989,78800
Copenhagen,1989,82895
Dragør,1989,106167
Egedal,1989,100064
Esbjerg,1989,85927
Faaborg-Midtfyn,1989,81250
Fanø,1989,90760
Favrskov,1989,86404
Faxe,1989,85918
Fredensborg,1989,99634
Fredericia,1989,86449
Frederiksberg,1989,94626
Frederikshavn,1989,82545
Frederikssund,1989,92340
Furesø,1989,107009
Gentofte,1989,117680
Gladsaxe,1989,91003
Glostrup,1989,92205
Greve,1989,99992
Gribskov,1989,93800
Guldborgsund,1989,81213
Haderslev,1989,82647
Halsnæs,1989,88092
Hedensted,1989,83975
Helsingør,1989,91762
Herlev,1989,93629
Herning,1989,86231
Hillerød,1989,97677
Hjørring,1989,80575
Holbæk,1989,86649
Holstebro,1989,83709
Horsens,1989,84911
Hvidovre,1989,90263
Høje-Taastrup,1989,94577
Hørsholm,1989,119228
Ikast-Brande,1989,83672
Ishøj,1989,90822
Jammerbugt,1989,79869
Kalundborg,1989,85567
Kerteminde,1989,85736
Kolding,1989,84482
Køge,1989,91116
Langeland,1989,76412
Lejre,1989,96478
Lemvig,1989,82969
Lolland,1989,78670
Lyngby-Taarbæk,1989,104507
Læsø,1989,74638
Mariagerfjord,1989,80676
Middelfart,1989,83358
Morsø,1989,78597
Norddjurs,1989,80872
Nordfyns,1989,81134
Nyborg,1989,82704
Næstved,1989,86388
Odder,1989,86440
Odense,1989,83170
Odsherred,1989,82785
Randers,1989,81804
Rebild,1989,82661
Ringkøbing-Skjern,1989,83826
Ringsted,1989,87934
Roskilde,1989,95164
Rudersdal,1989,116991
Rødovre,1989,90852
Samsø,1989,75489
Silkeborg,1989,86900
Skanderborg,1989,86834
Skive,1989,81562
Slagelse,1989,84485
Solrød,1989,102915
Sorø,1989,86083
Stevns,1989,88700
Struer,1989,82271
Svendborg,1989,82263
Syddjurs,1989,84287
Sønderborg,1989,84828
Thisted,1989,78940
Tårnby,1989,95053
Tønder,1989,82660
Vallensbæk,1989,104844
Varde,1989,83814
Vejen,1989,81480
Vejle,1989,84493
Vesthimmerlands,1989,78284
Viborg,1989,83399
Vordingborg,1989,82286
Ærø,1989,78922
Aabenraa,1990,87067
Aalborg,1990,86775
Aarhus,1990,89149
Albertslund,1990,93620
Allerød,1990,110893
Assens,1990,84584
Ballerup,1990,96440
Billund,1990,90121
Bornholm,1990,82392
Brøndby,1990,94147
Brønderslev,1990,82392
Copenhagen,1990,85421
Dragør,1990,109441
Egedal,1990,104524
Esbjerg,1990,89236
Faaborg-Midtfyn,1990,85267
Fanø,1990,94424
Favrskov,1990,89015
Faxe,1990,90199
Fredensborg,1990,104438
Fredericia,1990,90326
Frederiksberg,1990,98916
Frederikshavn,1990,85996
Frederikssund,1990,96435
Furesø,1990,110721
Gentofte,1990,119382
Gladsaxe,1990,94374
Glostrup,1990,95536
Greve,1990,104726
Gribskov,1990,98060
Guldborgsund,1990,85260
Haderslev,1990,86292
Halsnæs,1990,91961
Hedensted,1990,87966
Helsingør,1990,95390
Herlev,1990,96332
Herning,1990,89424
Hillerød,1990,101264
Hjørring,1990,84462
Holbæk,1990,89909
Holstebro,1990,87180
Horsens,1990,86395
Hvidovre,1990,93217
Høje-Taastrup,1990,97241
Hørsholm,1990,127455
Ikast-Brande,1990,86520
Ishøj,1990,93570
Jammerbugt,1990,83431
Kalundborg,1990,89457
Kerteminde,1990,89124
Kolding,1990,88470
Køge,1990,94786
Langeland,1990,80736
Lejre,1990,101012
Lemvig,1990,85702
Lolland,1990,82521
Lyngby-Taarbæk,1990,109204
Læsø,1990,79709
Mariagerfjord,1990,83335
Middelfart,1990,87763
Morsø,1990,82314
Norddjurs,1990,86555
Nordfyns,1990,84751
Nyborg,1990,86370
Næstved,1990,89477
Odder,1990,89540
Odense,1990,85950
Odsherred,1990,86891
Randers,1990,84811
Rebild,1990,86209
Ringkøbing-Skjern,1990,87748
