municipality,year,reference_period,value
Aabenraa,2007,2008Q1,60189
Aabenraa,2011,2011Q1,59795
Aabenraa,2015,2015Q1,58904
Aabenraa,2019,2019Q1,59035
Aabenraa,2022,2022Q1,58693
Aabenraa,2024,2024M01,58657
Aabenraa,2026,2026M02,58351
Aalborg,2007,2008Q1,195145
Aalborg,2011,2011Q1,199188
Aalborg,2015,2015Q1,207805
Aalborg,2019,2019Q1,215312
Aalborg,2022,2022Q1,221082
Aalborg,2024,2024M01,223174
Aalborg,2026,2026M02,226113
Aarhus,2007,2008Q1,298538
Aarhus,2011,2011Q1,310956
Aarhus,2015,2015Q1,326246
Aarhus,2019,2019Q1,345332
Aarhus,2022,2022Q1,355238
Aarhus,2024,2024M01,367095
Aarhus,2026,2026M02,378526
Albertslund,2007,2008Q1,27602
Albertslund,2011,2011Q1,27800
Albertslund,2015,2015Q1,27806
Albertslund,2019,2019Q1,27877
Albertslund,2022,2022Q1,27599
Albertslund,2024,2024M01,27677
Albertslund,2026,2026M02,29290
Allerød,2007,2008Q1,23493
Allerød,2011,2011Q1,24096
Allerød,2015,2015Q1,24411
Allerød,2019,2019Q1,25646
Allerød,2022,2022Q1,25867
Allerød,2024,2024M01,25962
Allerød,2026,2026M02,26487
Assens,2007,2008Q1,42054
Assens,2011,2011Q1,41635
Assens,2015,2015Q1,41046
Assens,2019,2019Q1,41212
Assens,2022,2022Q1,40972
Assens,2024,2024M01,40646
Assens,2026,2026M02,40355
Ballerup,2007,2008Q1,47116
Ballerup,2011,2011Q1,47930
Ballerup,2015,2015Q1,48355
Ballerup,2019,2019Q1,48458
Ballerup,2022,2022Q1,49274
Ballerup,2024,2024M01,51237
Ballerup,2026,2026M02,53996
Billund,2007,2008Q1,26181
Billund,2011,2011Q1,26155
Billund,2015,2015Q1,26285
Billund,2019,2019Q1,26629
Billund,2022,2022Q1,26631
Billund,2024,2024M01,27119
Billund,2026,2026M02,27181
Bornholm,2007,2008Q1,42817
Bornholm,2011,2011Q1,41802
Bornholm,2015,2015Q1,39828
Bornholm,2019,2019Q1,39572
Bornholm,2022,2022Q1,39545
Bornholm,2024,2024M01,39332
Bornholm,2026,2026M02,38606
Brøndby,2007,2008Q1,33831
Brøndby,2011,2011Q1,34021
Brøndby,2015,2015Q1,35050
Brøndby,2019,2019Q1,35397
Brøndby,2022,2022Q1,35651
Brøndby,2024,2024M01,39067
Brøndby,2026,2026M02,41013
Brønderslev,2007,2008Q1,35525
Brønderslev,2011,2011Q1,35789
Brønderslev,2015,2015Q1,35781
Brønderslev,2019,2019Q1,36370
Brønderslev,2022,2022Q1,36194
Brønderslev,2024,2024M01,36614
Brønderslev,2026,2026M02,36578
Copenhagen,2007,2008Q1,509861
Copenhagen,2011,2011Q1,539542
Copenhagen,2015,2015Q1,580184
Copenhagen,2019,2019Q1,623404
Copenhagen,2022,2022Q1,644431
Copenhagen,2024,2024M01,659350
Copenhagen,2026,2026M02,673391
Dragør,2007,2008Q1,13261
