municipality,year,value
Aabenraa,2007,63.93
Aalborg,2007,170.58
Aarhus,2007,636.72
Albertslund,2007,1198.0
Allerød,2007,348.35
Assens,2007,82.1
Ballerup,2007,1382.11
Billund,2007,48.8
Bornholm,2007,72.8
Brøndby,2007,1638.31
Brønderslev,2007,56.11
Copenhagen,2007,5777.46
Dragør,2007,731.04
Egedal,2007,322.23
Esbjerg,2007,151.78
Faaborg-Midtfyn,2007,81.5
Fanø,2007,57.22
Favrskov,2007,84.32
Faxe,2007,87.55
Fredensborg,2007,350.11
Fredericia,2007,367.86
Frederiksberg,2007,10654.96
Frederikshavn,2007,96.75
Frederikssund,2007,177.38
Furesø,2007,664.56
Gentofte,2007,2698.24
Gladsaxe,2007,2502.48
Glostrup,2007,1553.19
Greve,2007,793.84
Gribskov,2007,144.69
Guldborgsund,2007,70.28
Haderslev,2007,69.42
Halsnæs,2007,254.34
Hedensted,2007,82.61
Helsingør,2007,500.32
Herlev,2007,2206.56
Herning,2007,63.63
Hillerød,2007,217.21
Hjørring,2007,72.21
Holbæk,2007,119.24
Holstebro,2007,71.26
Horsens,2007,155.47
Hvidovre,2007,2253.77
Høje-Taastrup,2007,601.43
Hørsholm,2007,771.1
Ikast-Brande,2007,54.17
Ishøj,2007,797.49
Jammerbugt,2007,44.63
Kalundborg,2007,82.39
Kerteminde,2007,114.79
Kolding,2007,143.53
Køge,2007,221.7
Langeland,2007,47.19
Lejre,2007,110.81
Lemvig,2007,43.42
Lolland,2007,54.06
Lyngby-Taarbæk,2007,1323.28
Læsø,2007,17.6
Mariagerfjord,2007,59.02
Middelfart,2007,124.28
Morsø,2007,60.08
Norddjurs,2007,53.5
Nordfyns,2007,65.26
Nyborg,2007,114.42
Næstved,2007,118.05
Odder,2007,95.78
Odense,2007,614.22
Odsherred,2007,93.24
Randers,2007,125.47
Rebild,2007,46.17
Ringkøbing-Skjern,2007,39.2
Ringsted,2007,108.61
Roskilde,2007,380.81
Rudersdal,2007,734.51
Rødovre,2007,2982.18
Samsø,2007,35.75
Silkeborg,2007,101.02
Skanderborg,2007,121.19
Skive,2007,70.01
Slagelse,2007,136.53
Solrød,2007,519.1
Sorø,2007,94.15
Stevns,2007,87.5
Struer,2007,90.38
Svendborg,2007,141.71
Syddjurs,2007,59.28
Sønderborg,2007,154.89
Thisted,2007,41.35
Tårnby,2007,616.1
Tønder,2007,32.23
Vallensbæk,2007,1355.08
Varde,2007,40.24
Vejen,2007,52.12
Vejle,2007,98.42
Vesthimmerlands,2007,49.31
Viborg,2007,64.91
Vordingborg,2007,75.02
Ærø,2007,74.21
Aabenraa,2011,63.56
Aalborg,2011,175.16
Aarhus,2011,665.0
Albertslund,2011,1198.28
Allerød,2011,356.98
Assens,2011,81.43
Ballerup,2011,1409.71
Billund,2011,48.42
Bornholm,2011,71.06
Brøndby,2011,1620.05
Brønderslev,2011,56.53
Copenhagen,2011,7251.91
Dragør,2011,749.56
Egedal,2011,330.53
Esbjerg,2011,144.99
Faaborg-Midtfyn,2011,81.95
Fanø,2011,58.85
Favrskov,2011,86.79
Faxe,2011,87.13
Fredensborg,2011,350.95
Fredericia,2011,375.03
Frederiksberg,2011,12347.75
Frederikshavn,2011,94.83
Frederikssund,2011,178.3
Furesø,2011,674.05
Gentofte,2011,2801.33
Gladsaxe,2011,2608.47
Glostrup,2011,1607.82
Greve,2011,794.34
Gribskov,2011,145.62
Guldborgsund,2011,69.59
Haderslev,2011,68.72
Halsnæs,2011,254.77
Hedensted,2011,83.43
Helsingør,2011,516.13
Herlev,2011,2198.1
Herning,2011,64.99
Hillerød,2011,224.64
Hjørring,2011,71.74
Holbæk,2011,120.45
Holstebro,2011,72.08
Horsens,2011,159.51
Hvidovre,2011,2186.94
Høje-Taastrup,2011,609.87
Hørsholm,2011,780.03
Ikast-Brande,2011,55.31
Ishøj,2011,784.79
Jammerbugt,2011,44.84
Kalundborg,2011,85.37
Kerteminde,2011,115.44
Kolding,2011,147.6
Køge,2011,223.28
Langeland,2011,46.13
Lejre,2011,112.03
Lemvig,2011,42.88
Lolland,2011,52.27
Lyngby-Taarbæk,2011,1359.64
Læsø,2011,16.46
Mariagerfjord,2011,59.27
Middelfart,2011,126.17
Morsø,2011,58.95
Norddjurs,2011,52.74
Nordfyns,2011,65.24
Nyborg,2011,113.92
Næstved,2011,119.7
Odder,2011,97.68
Odense,2011,622.53
Odsherred,2011,92.76
Randers,2011,127.46
Rebild,2011,46.58
Ringkøbing-Skjern,2011,39.52
Ringsted,2011,111.64
Roskilde,2011,389.72
Rudersdal,2011,747.14
Rødovre,2011,2993.77
Samsø,2011,34.23
Silkeborg,2011,104.57
Skanderborg,2011,138.44
Skive,2011,70.22
Slagelse,2011,136.34
Solrød,2011,522.79
Sorø,2011,95.68
Stevns,2011,87.39
Struer,2011,90.13
Svendborg,2011,141.34
Syddjurs,2011,60.51
Sønderborg,2011,153.46
Thisted,2011,42.25
Tårnby,2011,615.91
Tønder,2011,30.74
Vallensbæk,2011,1520.53
Varde,2011,40.6
Vejen,2011,52.46
Vejle,2011,101.3
Vesthimmerlands,2011,49.19
Viborg,2011,66.37
Vordingborg,2011,74.53
Ærø,2011,73.95
Aabenraa,2015,62.62
Aalborg,2015,182.72
Aarhus,2015,697.33
Albertslund,2015,1199.05
Allerød,2015,361.91
Assens,2015,80.27
Ballerup,2015,1424.3
Billund,2015,48.66
Bornholm,2015,67.69
Brøndby,2015,1666.67
Brønderslev,2015,56.52
Copenhagen,2015,6729.11
Dragør,2015,768.24
Egedal,2015,338.26
Esbjerg,2015,145.3
Faaborg-Midtfyn,2015,80.42
Fanø,2015,59.82
Favrskov,2015,87.96
Faxe,2015,86.92
Fredensborg,2015,354.85
Fredericia,2015,377.41
Frederiksberg,2015,11847.53
Frederikshavn,2015,92.98
Frederikssund,2015,178.73
Furesø,2015,687.85
Gentofte,2015,2924.75
Gladsaxe,2015,2701.44
Glostrup,2015,1682.24
Greve,2015,809.06
Gribskov,2015,146.19
Guldborgsund,2015,67.54
Haderslev,2015,68.42
Halsnæs,2015,252.08
Hedensted,2015,83.65
Helsingør,2015,518.44
Herlev,2015,2334.0
Herning,2015,65.75
Hillerød,2015,230.07
Hjørring,2015,70.47
Holbæk,2015,119.6
Holstebro,2015,72.5
Horsens,2015,166.27
Hvidovre,2015,2284.34
Høje-Taastrup,2015,628.41
Hørsholm,2015,794.38
Ikast-Brande,2015,55.35
Ishøj,2015,832.39
Jammerbugt,2015,44.32
Kalundborg,2015,84.27
Kerteminde,2015,115.3
Kolding,2015,150.22
Køge,2015,231.11
Langeland,2015,43.78
Lejre,2015,113.73
Lemvig,2015,40.6
Lolland,2015,48.56
Lyngby-Taarbæk,2015,1412.17
Læsø,2015,15.06
Mariagerfjord,2015,58.66
Middelfart,2015,126.7
Morsø,2015,56.81
Norddjurs,2015,52.56
Nordfyns,2015,64.19
Nyborg,2015,114.07
Næstved,2015,120.7
Odder,2015,98.01
Odense,2015,646.18
Odsherred,2015,92.25
Randers,2015,129.45
Rebild,2015,46.45
Ringkøbing-Skjern,2015,38.81
Ringsted,2015,113.97
Roskilde,2015,401.41
Rudersdal,2015,755.84
Rødovre,2015,3101.31
Samsø,2015,32.88
Silkeborg,2015,105.86
Skanderborg,2015,141.01
Skive,2015,68.25
Slagelse,2015,136.08
Solrød,2015,537.72
Sorø,2015,95.13
Stevns,2015,88.12
Struer,2015,87.07
Svendborg,2015,139.6
Syddjurs,2015,60.39
Sønderborg,2015,150.9
Thisted,2015,41.05
Tårnby,2015,644.07
Tønder,2015,29.61
Vallensbæk,2015,1603.8
Varde,2015,40.42
Vejen,2015,52.36
Vejle,2015,104.37
Vesthimmerlands,2015,48.58
Viborg,2015,67.42
Vordingborg,2015,73.39
Ærø,2015,69.67
Aabenraa,2019,62.76
Aalborg,2019,189.3
Aarhus,2019,738.05
Albertslund,2019,1191.32
Allerød,2019,380.5
Assens,2019,80.57
Ballerup,2019,1429.44
Billund,2019,49.29
Bornholm,2019,67.25
Brøndby,2019,1685.57
Brønderslev,2019,57.45
Copenhagen,2019,7190.36
Dragør,2019,779.78
Egedal,2019,344.48
Esbjerg,2019,145.44
Faaborg-Midtfyn,2019,81.77
Fanø,2019,59.1
Favrskov,2019,89.53
Faxe,2019,90.18
Fredensborg,2019,364.13
Fredericia,2019,384.93
Frederiksberg,2019,11949.43
Frederikshavn,2019,91.93
Frederikssund,2019,182.42
Furesø,2019,723.05
Gentofte,2019,2936.56
Gladsaxe,2019,2798.43
Glostrup,2019,1700.38
Greve,2019,832.24
Gribskov,2019,147.39
Guldborgsund,2019,67.65
Haderslev,2019,68.39
Halsnæs,2019,256.53
Hedensted,2019,84.84
Helsingør,2019,526.22
Herlev,2019,2379.01
Herning,2019,67.31
Hillerød,2019,238.87
Hjørring,2019,69.77
Holbæk,2019,123.52
Holstebro,2019,73.78
Horsens,2019,173.99
Hvidovre,2019,2332.58
Høje-Taastrup,2019,648.16
Hørsholm,2019,798.95
Ikast-Brande,2019,56.28
Ishøj,2019,865.89
Jammerbugt,2019,44.51
Kalundborg,2019,84.62
Kerteminde,2019,115.46
Kolding,2019,153.69
Køge,2019,235.81
Langeland,2019,43.43
Lejre,2019,116.26
Lemvig,2019,39.3
Lolland,2019,46.96
Lyngby-Taarbæk,2019,1437.89
Læsø,2019,14.83
Mariagerfjord,2019,58.55
Middelfart,2019,128.98
Morsø,2019,55.69
Norddjurs,2019,52.26
Nordfyns,2019,65.65
Nyborg,2019,115.76
Næstved,2019,122.62
Odder,2019,101.36
Odense,2019,668.13
Odsherred,2019,93.54
Randers,2019,130.93
Rebild,2019,48.15
Ringkøbing-Skjern,2019,38.71
Ringsted,2019,117.83
Roskilde,2019,413.49
Rudersdal,2019,770.93
Rødovre,2019,3282.95
Samsø,2019,32.43
Silkeborg,2019,109.44
Skanderborg,2019,148.65
Skive,2019,67.64
Slagelse,2019,139.14
Solrød,2019,575.19
Sorø,2019,96.71
Stevns,2019,91.09
Struer,2019,85.88
Svendborg,2019,141.07
Syddjurs,2019,62.0
Sønderborg,2019,150.17
Thisted,2019,40.65
Tårnby,2019,650.29
Tønder,2019,29.28
Vallensbæk,2019,1753.05
Varde,2019,40.42
Vejen,2019,52.68
Vejle,2019,108.48
Vesthimmerlands,2019,48.22
Viborg,2019,68.93
Vordingborg,2019,73.87
Ærø,2019,67.24
Aabenraa,2022,62.39
Aalborg,2022,194.39
Aarhus,2022,758.89
Albertslund,2022,1179.44
Allerød,2022,383.78
Assens,2022,80.09
Ballerup,2022,1453.51
Billund,2022,49.3
Bornholm,2022,67.2
Brøndby,2022,1697.67
Brønderslev,2022,57.17
Copenhagen,2022,7152.4
Dragør,2022,800.0
Egedal,2022,352.74
Esbjerg,2022,145.16
Faaborg-Midtfyn,2022,81.83
Fanø,2022,56.09
Favrskov,2022,90.47
Faxe,2022,91.78
Fredensborg,2022,367.63
Fredericia,2022,386.27
Frederiksberg,2022,11908.97
Frederikshavn,2022,90.26
Frederikssund,2022,184.31
Furesø,2022,728.91
Gentofte,2022,2899.1
Gladsaxe,2022,2781.49
Glostrup,2022,1767.97
Greve,2022,841.36
Gribskov,2022,147.22
Guldborgsund,2022,66.96
Haderslev,2022,67.75
Halsnæs,2022,256.92
Hedensted,2022,85.48
Helsingør,2022,528.81
Herlev,2022,2385.7
Herning,2022,67.54
Hillerød,2022,249.45
Hjørring,2022,68.87
Holbæk,2022,126.12
Holstebro,2022,73.84
Horsens,2022,181.83
Hvidovre,2022,2326.07
Høje-Taastrup,2022,678.43
Hørsholm,2022,791.09
Ikast-Brande,2022,57.1
Ishøj,2022,876.42
Jammerbugt,2022,44.19
Kalundborg,2022,84.03
Kerteminde,2022,116.5
Kolding,2022,154.77
Køge,2022,239.68
Langeland,2022,42.37
Lejre,2022,119.81
Lemvig,2022,38.06
Lolland,2022,45.24
Lyngby-Taarbæk,2022,1490.36
