municipality,year,value
Aabenraa,2007,85.48
Aalborg,2007,85.44
Aarhus,2007,87.9
Albertslund,2007,86.16
Allerød,2007,92.14
Assens,2007,86.73
Ballerup,2007,88.38
Billund,2007,86.16
Bornholm,2007,85.04
Brøndby,2007,84.61
Brønderslev,2007,86.15
Copenhagen,2007,83.88
Dragør,2007,91.4
Egedal,2007,91.8
Esbjerg,2007,85.27
Faaborg-Midtfyn,2007,87.43
Fanø,2007,90.71
Favrskov,2007,88.19
Faxe,2007,86.27
Fredensborg,2007,89.05
Fredericia,2007,84.75
Frederiksberg,2007,87.78
Frederikshavn,2007,83.67
Frederikssund,2007,87.76
Furesø,2007,91.45
Gentofte,2007,89.93
Gladsaxe,2007,87.42
Glostrup,2007,86.69
Greve,2007,88.8
Gribskov,2007,87.77
Guldborgsund,2007,85.76
Haderslev,2007,86.05
Halsnæs,2007,84.89
Hedensted,2007,88.42
Helsingør,2007,85.98
Herlev,2007,86.87
Herning,2007,87.89
Hillerød,2007,89.29
Hjørring,2007,84.87
Holbæk,2007,86.73
Holstebro,2007,87.47
Horsens,2007,86.57
Hvidovre,2007,85.95
Høje-Taastrup,2007,85.88
Hørsholm,2007,90.74
Ikast-Brande,2007,86.9
Ishøj,2007,83.75
Jammerbugt,2007,85.58
Kalundborg,2007,85.24
Kerteminde,2007,88.9
Kolding,2007,86.21
Køge,2007,88.12
Langeland,2007,84.87
Lejre,2007,91.28
Lemvig,2007,87.07
Lolland,2007,83.33
Lyngby-Taarbæk,2007,89.41
Læsø,2007,86.11
Mariagerfjord,2007,85.43
Middelfart,2007,87.59
Morsø,2007,85.45
Norddjurs,2007,83.38
Nordfyns,2007,87.17
Nyborg,2007,86.5
Næstved,2007,86.63
Odder,2007,89.75
Odense,2007,85.7
Odsherred,2007,85.45
Randers,2007,85.12
Rebild,2007,87.67
Ringkøbing-Skjern,2007,87.22
Ringsted,2007,86.93
Roskilde,2007,89.45
Rudersdal,2007,91.19
Rødovre,2007,85.82
Samsø,2007,85.42
Silkeborg,2007,88.33
Skanderborg,2007,90.13
Skive,2007,86.14
Slagelse,2007,84.49
Solrød,2007,89.83
Sorø,2007,87.16
Stevns,2007,88.51
Struer,2007,87.63
Svendborg,2007,87.05
Syddjurs,2007,86.65
Sønderborg,2007,86.67
Thisted,2007,86.39
Tårnby,2007,86.58
Tønder,2007,84.19
Vallensbæk,2007,91.14
Varde,2007,86.95
Vejen,2007,85.77
Vejle,2007,86.48
Vesthimmerlands,2007,83.89
Viborg,2007,86.74
Vordingborg,2007,87.13
Ærø,2007,85.19
Aabenraa,2011,85.81
Aalborg,2011,86.65
Aarhus,2011,88.97
Albertslund,2011,86.99
Allerød,2011,93.31
Assens,2011,88.39
Ballerup,2011,88.59
Billund,2011,87.83
Bornholm,2011,85.24
Brøndby,2011,84.4
Brønderslev,2011,87.8
Copenhagen,2011,85.67
Dragør,2011,91.14
Egedal,2011,92.59
Esbjerg,2011,86.46
Faaborg-Midtfyn,2011,88.03
Fanø,2011,90.95
