country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
norway,age65,2024,municipality,0301,Oslo - Oslove,13.2,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1101,Eigersund,19.63,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1103,Stavanger,15.69,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1106,Haugesund,18.46,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1108,Sandnes,14.24,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1111,Sokndal,22.05,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1112,Lund,20.86,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1114,Bjerkreim,17.01,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1119,Hå,15.81,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1120,Klepp,13.78,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1121,Time,16.02,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1122,Gjesdal,13.38,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1124,Sola,14.27,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1127,Randaberg,16.33,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1130,Strand,17.22,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1133,Hjelmeland,23.27,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1134,Suldal,22.94,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1135,Sauda,22.44,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1144,Kvitsøy,24.26,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1145,Bokn,23.56,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1146,Tysvær,17.42,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1149,Karmøy,18.43,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1151,Utsira,21.86,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1160,Vindafjord,19.8,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1505,Kristiansund,22.19,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1506,Molde,21.74,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1508,Ålesund,18.32,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1511,Vanylven,30.7,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1514,Sande,24.69,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1515,Herøy (Møre og Romsdal),21.44,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1516,Ulstein,18.34,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1517,Hareid,19.67,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1520,Ørsta,21.8,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1525,Stranda,24.1,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1528,Sykkylven,22.58,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1531,Sula,17.67,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1532,Giske,18.2,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1535,Vestnes,23.69,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1539,Rauma,23.24,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1547,Aukra,20.83,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1554,Averøy,23.16,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1557,Gjemnes,24.22,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1560,Tingvoll,26.27,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1563,Sunndal,23.47,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1566,Surnadal,25.33,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1573,Smøla,26.91,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1576,Aure,26.64,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1577,Volda,20.37,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1578,Fjord,27.29,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1579,Hustadvika,20.92,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1580,Haram,22.67,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1804,Bodø,17.82,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1806,Narvik,23.42,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1811,Bindal,32.17,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1812,Sømna,24.09,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1813,Brønnøy,21.28,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1815,Vega,27.81,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1816,Vevelstad,30.63,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1818,Herøy (Nordland),23.62,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1820,Alstahaug,22.87,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1822,Leirfjord,22.66,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1824,Vefsn,22.55,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1825,Grane,27.37,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1826,Aarborte - Hattfjelldal,29.05,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1827,Dønna,27.33,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1828,Nesna,22.01,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1832,Hemnes,24.68,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1833,Rana - Raane,21.58,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1834,Lurøy,26.46,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1835,Træna,18.78,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1836,Rødøy,26.43,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1837,Meløy,23.88,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1838,Gildeskål,29.16,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1839,Beiarn,31.73,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1840,Saltdal,24.94,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1841,Fauske - Fuossko,24.06,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1845,Sørfold - Fuolldá,28.47,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1848,Steigen,26.12,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1851,Lødingen,32.18,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1853,Evenes - Evenássi,30.53,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1856,Røst,26.52,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1857,Værøy,23.72,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1859,Flakstad,26.53,pct,provenance/norway_first_harvest_manifest.json,family_mapped
norway,age65,2024,municipality,1860,Vestvågøy,20.79,pct,provenance/norway_first_harvest_manifest.json,family_mapped
