country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
norway,cars,2025,municipality,0301,Oslo - Oslove,340.76,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1101,Eigersund,545.24,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1103,Stavanger,463.72,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1106,Haugesund,517.47,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1108,Sandnes,524.89,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1111,Sokndal,562.74,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1112,Lund,559.37,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1114,Bjerkreim,616.18,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1119,Hå,552.9,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1120,Klepp,597.09,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1121,Time,562.43,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1122,Gjesdal,553.61,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1124,Sola,589.65,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1127,Randaberg,528.36,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1130,Strand,515.24,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1133,Hjelmeland,532.64,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1134,Suldal,563.59,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1135,Sauda,513.7,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1144,Kvitsøy,475.44,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1145,Bokn,614.78,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1146,Tysvær,584.55,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
norway,cars,2025,municipality,1149,Karmøy,568.44,cars-per-1000-residents,provenance/norway_first_harvest_manifest.json,country_local
