country_id,factor_id,year,public_geography_type,public_geography_id,municipality,value,unit,provenance_ref,comparability_status
norway,income,2024,municipality,0301,Oslo - Oslove,408400,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1101,Eigersund,369500,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1103,Stavanger,400900,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1106,Haugesund,373500,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1108,Sandnes,387800,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1111,Sokndal,361600,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1112,Lund,347100,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1114,Bjerkreim,369700,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1119,Hå,365400,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1120,Klepp,384700,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1121,Time,393200,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1122,Gjesdal,377100,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1124,Sola,423000,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1127,Randaberg,390800,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1130,Strand,363500,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1133,Hjelmeland,385900,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1134,Suldal,373100,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1135,Sauda,371400,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1144,Kvitsøy,375700,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1145,Bokn,381200,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1146,Tysvær,376700,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1149,Karmøy,365100,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1151,Utsira,379200,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1160,Vindafjord,367000,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1505,Kristiansund,345600,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1506,Molde,375700,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1508,Ålesund,373800,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1511,Vanylven,350400,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1514,Sande,351400,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1515,Herøy (Møre og Romsdal),349900,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1516,Ulstein,360800,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1517,Hareid,339100,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
norway,income,2024,municipality,1520,Ørsta,353400,NOK,provenance/norway_first_harvest_manifest.json,family_mapped
